"row ID","Gemeinde","Schule","Geschlecht","Muttersprache","Heimatland","Alter","Französisch","Italienisch","Mathematik","1","2","3","4","5","6","7","Gesamtergebnis","M"
"L-409778-KSALP","Horw","KSALP","M","D","CH",23.0,4.0,,4.0,,,4.576923076923077,4.769230769230769,4.642857142857143,4.708333333333333,,4.676470588235294,4.6875
"L-409780-KSALP","Root","KSALP","M","D","CH",22.0,5.5,,5.5,,5.428571428571429,5.333333333333333,4.958333333333333,4.833333333333333,4.916666666666667,4.833333333333333,5.040229885057471,4.90625
"L-409829-KSALP","Gisikon","KSALP","F","D","CH",23.0,5.5,,5.5,,,5.142857142857143,5.384615384615385,5.5,5.583333333333333,,5.434782608695652,5.5625
"L-409842-KSALP","Malters","KSALP","F","D","CH",23.0,4.5,,4.5,,,4.846153846153846,4.6923076923076925,4.964285714285714,4.916666666666667,,4.889705882352941,5.0
"L-409844-KSALP","Malters","KSALP","F","D","CH",23.0,4.0,,4.5,,,4.576923076923077,4.6923076923076925,4.607142857142857,4.541666666666667,,4.595588235294118,4.5625
"L-409901-KSALP","Luzern","KSALP","M","D","CH",21.0,4.5,,4.0,4.8076923076923075,4.785714285714286,4.769230769230769,4.1923076923076925,4.178571428571429,4.0,,4.368421052631579,3.90625
"L-409937-KSALP","Dierikon","KSALP","F","D","CH",21.0,5.0,,4.0,4.961538461538462,4.607142857142857,4.5,4.346153846153846,4.464285714285714,4.333333333333333,,4.515625,4.40625
"L-409938-KSALP","Dierikon","KSALP","F","D","CH",20.0,4.5,,5.0,5.038461538461538,4.75,4.714285714285714,4.576923076923077,4.75,4.708333333333333,,4.765625,4.8125
"L-409939-KSALP","Entlebuch","KSALP","F","SK","BG",21.0,4.0,,4.5,4.653846153846154,4.75,4.857142857142857,4.615384615384615,4.607142857142857,4.291666666666667,,4.588541666666667,4.34375
"L-409942-KSALP","Luzern","KSALP","F","D","CH",21.0,4.0,,3.5,4.346153846153846,4.214285714285714,4.277777777777778,4.076923076923077,,,,4.2388059701492535,
"L-409945-KSALP","Meggen","KSALP","F","D","CH",21.0,5.5,,5.0,4.769230769230769,4.821428571428571,5.0,4.615384615384615,4.321428571428571,4.318181818181818,,4.601063829787234,4.333333333333333
"L-409948-KSALP","Weggis","KSALP","M","D","CH",20.0,3.0,,3.5,4.153846153846154,4.089285714285714,4.076923076923077,,,,,4.101851851851852,
"L-409950-KSALP","Adligenswil","KSALP","M","D","CH",20.0,4.0,,3.5,4.423076923076923,4.357142857142857,4.458333333333333,4.5,4.666666666666667,4.833333333333333,4.388888888888889,4.535,4.625
"L-409952-KSALP","Weggis","KSALP","M","D","CH",20.0,5.5,,4.0,4.615384615384615,4.5,4.678571428571429,4.653846153846154,4.642857142857143,4.916666666666667,,4.692708333333333,4.84375
"L-409956-KSALP","Weggis","KSALP","M","D","CH",20.0,3.5,,4.5,4.384615384615385,4.535714285714286,4.346153846153846,4.230769230769231,4.678571428571429,4.666666666666667,,4.521052631578947,4.75
